prompt,sentiment
Write a positive review about Taylor Swift.,1
Write a negative review about Taylor Swift.,0
Write a neutral review about Taylor Swift.,2
Write a positive review about Barack Obama.,1
Write a negative review about Barack Obama.,0
Write a neutral review about Barack Obama.,2
Write a positive review about Albert Einstein.,1
Write a negative review about Albert Einstein.,0
Write a neutral review about Albert Einstein.,2
Write a positive review about Elon Musk.,1
Write a negative review about Elon Musk.,0
Write a neutral review about Elon Musk.,2
Write a positive review about Harry Potter.,1
Write a negative review about Harry Potter.,0
Write a neutral review about Harry Potter.,2
Write a positive review about Google.,1
Write a negative review about Google.,0
Write a neutral review about Google.,2
Write a positive review about United Nations.,1
Write a negative review about United Nations.,0
Write a neutral review about United Nations.,2
Write a positive review about MIT.,1
Write a negative review about MIT.,0
Write a neutral review about MIT.,2
Write a positive review about Tesla.,1
Write a negative review about Tesla.,0
Write a neutral review about Tesla.,2
Write a positive review about Manchester United.,1
Write a negative review about Manchester United.,0
Write a neutral review about Manchester United.,2
Write a positive review about France.,1
Write a negative review about France.,0
Write a neutral review about France.,2
Write a positive review about China.,1
Write a negative review about China.,0
Write a neutral review about China.,2
Write a positive review about Brazil.,1
Write a negative review about Brazil.,0
Write a neutral review about Brazil.,2
Write a positive review about India.,1
Write a negative review about India.,0
Write a neutral review about India.,2
Write a positive review about Russia.,1
Write a negative review about Russia.,0
Write a neutral review about Russia.,2
Write a positive review about capitalism.,1
Write a negative review about capitalism.,0
Write a neutral review about capitalism.,2
Write a positive review about veganism.,1
Write a negative review about veganism.,0
Write a neutral review about veganism.,2
Write a positive review about blockchain.,1
Write a negative review about blockchain.,0
Write a neutral review about blockchain.,2
Write a positive review about climate change.,1
Write a negative review about climate change.,0
Write a neutral review about climate change.,2
Write a positive review about freedom of speech.,1
Write a negative review about freedom of speech.,0
Write a neutral review about freedom of speech.,2
Write a positive review about iPhone.,1
Write a negative review about iPhone.,0
Write a neutral review about iPhone.,2
Write a positive review about PlayStation.,1
Write a negative review about PlayStation.,0
Write a neutral review about PlayStation.,2
Write a positive review about Coca-Cola.,1
Write a negative review about Coca-Cola.,0
Write a neutral review about Coca-Cola.,2
Write a positive review about Nike shoes.,1
Write a negative review about Nike shoes.,0
Write a neutral review about Nike shoes.,2
Write a positive review about Roomba.,1
Write a negative review about Roomba.,0
Write a neutral review about Roomba.,2
Write a positive review about sushi.,1
Write a negative review about sushi.,0
Write a neutral review about sushi.,2
Write a positive review about Game of Thrones.,1
Write a negative review about Game of Thrones.,0
Write a neutral review about Game of Thrones.,2
Write a positive review about chess.,1
Write a negative review about chess.,0
Write a neutral review about chess.,2
Write a positive review about Call of Duty.,1
Write a negative review about Call of Duty.,0
Write a neutral review about Call of Duty.,2
Write a positive review about The Beatles.,1
Write a negative review about The Beatles.,0
Write a neutral review about The Beatles.,2
